time,X
523.2454019504,523323.59375
523.2658360445,523338.25
523.2862701383,523289.96875
523.306704232,523304.0625
523.3271383257,523294.78125
523.3475725193,523296.4375
523.3680065126,523244.125
523.3884406059,523251.3125
523.408874799,523244.375
523.4293088919,523239.90625
523.4497428848,523245.96875
523.4701770776,523230.59375
523.4906111701,523157.90625
523.5110451627,523160.0625
523.5314793551,523160.9375
523.5519134473,523159.3125
523.5723474394,523230.375
523.5927816314,523182.0625
523.6132157234,523244.59375
523.6336497151,523200.0625
523.6540839067,523197.875
523.6745179982,523212.21875
523.6949521895,523214.09375
523.7153861808,523217.09375
523.7358202719,523157.875
523.756254463,523181.71875
523.7766884538,523152.46875
523.7971225445,523190.25
523.8175566352,523136.96875
523.8379907256,523162.1875
523.858424816,523159.09375
523.8788589063,523110.15625
523.8992929964,523188.75
523.9197270863,523135.375
523.9401612762,523137.90625
523.9605952659,523114.3125
523.9810293556,523129.34375
524.001463545,523076.3125
524.0218975344,523123.46875
524.0423316236,523105.90625
524.0627658127,523083.0625
524.0831998017,523098.34375
524.1036339905,523054.90625
524.1240680792,523081.46875
524.1445020678,522977.625
524.1649362563,523075.6875
524.1853703447,523048.71875
524.2058043329,523099.65625
524.2262385209,523010.71875
524.2466726089,523028.65625
524.2671066967,523038.5625
524.2875407845,522999.46875
524.307974872,523007.125
524.3284089595,522921.4375
524.3488430469,522932.1875
524.369277134,522870.6875
524.3897112211,522932.5
524.410145408,522993.53125
524.4305793949,522973.40625
524.4510134816,522962.28125
524.4714476681,522924.71875
524.4918816546,522998.8125
524.5123158409,522872.25
524.532749827,522938.1875
524.5531839131,522964.65625
524.573618099,522953.9375
524.5940520848,522944.46875
524.6144861705,522953.375
524.634920356,522931.21875
524.6553543415,522960.09375
524.6757884267,522971.3125
524.6962226119,522905.5625
524.7166565969,522942.5
524.7575248665,522912.3125
524.7779589512,522929.84375
524.7983929357,522932.90625
524.8188271201,522921
524.8392612044,522875.875
524.8596952886,522944.15625
524.8801293725,522884.28125
524.9005634564,522928.65625
524.9209976401,522883.09375
524.9414316237,522880.625
524.9618657072,522899.71875
524.9822998906,522899.625
525.0027338738,522897.15625
525.0231679569,522850.125
525.0436021399,522920.9375
525.0640361227,522890.96875
525.0844702055,522965.21875
525.104904388,522866.53125
525.1253383704,522911.03125
525.1457724529,522862.34375
525.1662066351,522840.59375
525.1866406171,522762.0625
525.207074699,522793.34375
525.2275087808,522863.28125
525.2479428626,522801.8125
525.268377044,522909.0625
525.2888110254,522798
525.3092451068,522877.59375
525.3296792879,522787.625
